ID,Scope,Level 1,Level 2,Level 3,Level 4,Column Text,UOM,GHG/Unit,GHG Conversion Factor 2025
25_300_3000_4_1,Scope 3,Business travel- land,Cars (by market segment),Mini,,Diesel,km,kg CO2e,0.10996
25_300_3000_4_2,Scope 3,Business travel- land,Cars (by market segment),Mini,,Diesel,km,kg CO2e of CO2 per unit,0.10828
25_300_3000_4_3,Scope 3,Business travel- land,Cars (by market segment),Mini,,Diesel,km,kg CO2e of CH4 per unit,0.000005
25_300_3000_4_4,Scope 3,Business travel- land,Cars (by market segment),Mini,,Diesel,km,kg CO2e of N2O per unit,0.00167
25_300_3001_4_1,Scope 3,Business travel- land,Cars (by market segment),Mini,,Petrol,km,kg CO2e,0.13063
25_300_3001_4_2,Scope 3,Business travel- land,Cars (by market segment),Mini,,Petrol,km,kg CO2e of CO2 per unit,0.12995
25_300_3001_4_3,Scope 3,Business travel- land,Cars (by market segment),Mini,,Petrol,km,kg CO2e of CH4 per unit,0.00036
25_300_3001_4_4,Scope 3,Business travel- land,Cars (by market segment),Mini,,Petrol,km,kg CO2e of N2O per unit,0.00032
25_300_3244_4_1,Scope 3,Business travel- land,Cars (by market segment),Mini,,Hybrid,km,kg CO2e,
25_300_3244_4_2,Scope 3,Business travel- land,Cars (by market segment),Mini,,Hybrid,km,kg CO2e of CO2 per unit,
25_300_3244_4_3,Scope 3,Business travel- land,Cars (by market segment),Mini,,Hybrid,km,kg CO2e of CH4 per unit,
25_300_3244_4_4,Scope 3,Business travel- land,Cars (by market segment),Mini,,Hybrid,km,kg CO2e of N2O per unit,
25_300_3245_4_1,Scope 3,Business travel- land,Cars (by market segment),Mini,,CNG,km,kg CO2e,
25_300_3245_4_2,Scope 3,Business travel- land,Cars (by market segment),Mini,,CNG,km,kg CO2e of CO2 per unit,
25_300_3245_4_3,Scope 3,Business travel- land,Cars (by market segment),Mini,,CNG,km,kg CO2e of CH4 per unit,
25_300_3245_4_4,Scope 3,Business travel- land,Cars (by market segment),Mini,,CNG,km,kg CO2e of N2O per unit,
25_300_3246_4_1,Scope 3,Business travel- land,Cars (by market segment),Mini,,LPG,km,kg CO2e,
25_300_3246_4_2,Scope 3,Business travel- land,Cars (by market segment),Mini,,LPG,km,kg CO2e of CO2 per unit,
25_300_3246_4_3,Scope 3,Business travel- land,Cars (by market segment),Mini,,LPG,km,kg CO2e of CH4 per unit,
25_300_3246_4_4,Scope 3,Business travel- land,Cars (by market segment),Mini,,LPG,km,kg CO2e of N2O per unit,
25_300_3002_4_1,Scope 3,Business travel- land,Cars (by market segment),Mini,,Unknown,km,kg CO2e,0.13051
25_300_3002_4_2,Scope 3,Business travel- land,Cars (by market segment),Mini,,Unknown,km,kg CO2e of CO2 per unit,0.12982
25_300_3002_4_3,Scope 3,Business travel- land,Cars (by market segment),Mini,,Unknown,km,kg CO2e of CH4 per unit,0.00035
25_300_3002_4_4,Scope 3,Business travel- land,Cars (by market segment),Mini,,Unknown,km,kg CO2e of N2O per unit,0.00034
25_300_3003_4_1,Scope 3,Business travel- land,Cars (by market segment),Mini,,Plug-in Hybrid Electric Vehicle,km,kg CO2e,
25_300_3003_4_2,Scope 3,Business travel- land,Cars (by market segment),Mini,,Plug-in Hybrid Electric Vehicle,km,kg CO2e of CO2 per unit,
25_300_3003_4_3,Scope 3,Business travel- land,Cars (by market segment),Mini,,Plug-in Hybrid Electric Vehicle,km,kg CO2e of CH4 per unit,
25_300_3003_4_4,Scope 3,Business travel- land,Cars (by market segment),Mini,,Plug-in Hybrid Electric Vehicle,km,kg CO2e of N2O per unit,
25_300_3004_4_1,Scope 3,Business travel- land,Cars (by market segment),Mini,,Battery Electric Vehicle,km,kg CO2e,0.03319
25_300_3004_4_2,Scope 3,Business travel- land,Cars (by market segment),Mini,,Battery Electric Vehicle,km,kg CO2e of CO2 per unit,0.03276
25_300_3004_4_3,Scope 3,Business travel- land,Cars (by market segment),Mini,,Battery Electric Vehicle,km,kg CO2e of CH4 per unit,0.00018
25_300_3004_4_4,Scope 3,Business travel- land,Cars (by market segment),Mini,,Battery Electric Vehicle,km,kg CO2e of N2O per unit,0.00025
25_300_3000_9_1,Scope 3,Business travel- land,Cars (by market segment),Mini,,Diesel,miles,kg CO2e,0.17696
25_300_3000_9_2,Scope 3,Business travel- land,Cars (by market segment),Mini,,Diesel,miles,kg CO2e of CO2 per unit,0.17425
25_300_3000_9_3,Scope 3,Business travel- land,Cars (by market segment),Mini,,Diesel,miles,kg CO2e of CH4 per unit,0.00001
25_300_3000_9_4,Scope 3,Business travel- land,Cars (by market segment),Mini,,Diesel,miles,kg CO2e of N2O per unit,0.00269
25_300_3001_9_1,Scope 3,Business travel- land,Cars (by market segment),Mini,,Petrol,miles,kg CO2e,0.21022
25_300_3001_9_2,Scope 3,Business travel- land,Cars (by market segment),Mini,,Petrol,miles,kg CO2e of CO2 per unit,0.20913
25_300_3001_9_3,Scope 3,Business travel- land,Cars (by market segment),Mini,,Petrol,miles,kg CO2e of CH4 per unit,0.00057
