ID,Scope,Level 1,Level 2,Level 3,Level 4,Column Text,UOM,GHG/Unit,GHG Conversion Factor 2025
27_303_3081_14_1,Scope 3,Freighting goods,Vans,Class I (up to 1.305 tonnes),,Diesel,tonne.km,kg CO2e,0.87423
27_303_3081_14_2,Scope 3,Freighting goods,Vans,Class I (up to 1.305 tonnes),,Diesel,tonne.km,kg CO2e of CO2 per unit,0.86501
27_303_3081_14_3,Scope 3,Freighting goods,Vans,Class I (up to 1.305 tonnes),,Diesel,tonne.km,kg CO2e of CH4 per unit,0.00002
27_303_3081_14_4,Scope 3,Freighting goods,Vans,Class I (up to 1.305 tonnes),,Diesel,tonne.km,kg CO2e of N2O per unit,0.00919
27_303_3082_14_1,Scope 3,Freighting goods,Vans,Class I (up to 1.305 tonnes),,Petrol,tonne.km,kg CO2e,1.42906
27_303_3082_14_2,Scope 3,Freighting goods,Vans,Class I (up to 1.305 tonnes),,Petrol,tonne.km,kg CO2e of CO2 per unit,1.42528
27_303_3082_14_3,Scope 3,Freighting goods,Vans,Class I (up to 1.305 tonnes),,Petrol,tonne.km,kg CO2e of CH4 per unit,0.00143
27_303_3082_14_4,Scope 3,Freighting goods,Vans,Class I (up to 1.305 tonnes),,Petrol,tonne.km,kg CO2e of N2O per unit,0.00235
27_303_3083_14_1,Scope 3,Freighting goods,Vans,Class I (up to 1.305 tonnes),,CNG,tonne.km,kg CO2e,
27_303_3083_14_2,Scope 3,Freighting goods,Vans,Class I (up to 1.305 tonnes),,CNG,tonne.km,kg CO2e of CO2 per unit,
27_303_3083_14_3,Scope 3,Freighting goods,Vans,Class I (up to 1.305 tonnes),,CNG,tonne.km,kg CO2e of CH4 per unit,
27_303_3083_14_4,Scope 3,Freighting goods,Vans,Class I (up to 1.305 tonnes),,CNG,tonne.km,kg CO2e of N2O per unit,
27_303_3084_14_1,Scope 3,Freighting goods,Vans,Class I (up to 1.305 tonnes),,LPG,tonne.km,kg CO2e,
27_303_3084_14_2,Scope 3,Freighting goods,Vans,Class I (up to 1.305 tonnes),,LPG,tonne.km,kg CO2e of CO2 per unit,
27_303_3084_14_3,Scope 3,Freighting goods,Vans,Class I (up to 1.305 tonnes),,LPG,tonne.km,kg CO2e of CH4 per unit,
27_303_3084_14_4,Scope 3,Freighting goods,Vans,Class I (up to 1.305 tonnes),,LPG,tonne.km,kg CO2e of N2O per unit,
27_303_3085_14_1,Scope 3,Freighting goods,Vans,Class I (up to 1.305 tonnes),,Unknown,tonne.km,kg CO2e,
27_303_3085_14_2,Scope 3,Freighting goods,Vans,Class I (up to 1.305 tonnes),,Unknown,tonne.km,kg CO2e of CO2 per unit,
27_303_3085_14_3,Scope 3,Freighting goods,Vans,Class I (up to 1.305 tonnes),,Unknown,tonne.km,kg CO2e of CH4 per unit,
27_303_3085_14_4,Scope 3,Freighting goods,Vans,Class I (up to 1.305 tonnes),,Unknown,tonne.km,kg CO2e of N2O per unit,
27_303_3086_14_1,Scope 3,Freighting goods,Vans,Class I (up to 1.305 tonnes),,Plug-in Hybrid Electric Vehicle,tonne.km,kg CO2e,
27_303_3086_14_2,Scope 3,Freighting goods,Vans,Class I (up to 1.305 tonnes),,Plug-in Hybrid Electric Vehicle,tonne.km,kg CO2e of CO2 per unit,
27_303_3086_14_3,Scope 3,Freighting goods,Vans,Class I (up to 1.305 tonnes),,Plug-in Hybrid Electric Vehicle,tonne.km,kg CO2e of CH4 per unit,
27_303_3086_14_4,Scope 3,Freighting goods,Vans,Class I (up to 1.305 tonnes),,Plug-in Hybrid Electric Vehicle,tonne.km,kg CO2e of N2O per unit,
27_303_3087_14_1,Scope 3,Freighting goods,Vans,Class I (up to 1.305 tonnes),,Battery Electric Vehicle,tonne.km,kg CO2e,0.12474
27_303_3087_14_2,Scope 3,Freighting goods,Vans,Class I (up to 1.305 tonnes),,Battery Electric Vehicle,tonne.km,kg CO2e of CO2 per unit,0.12288
27_303_3087_14_3,Scope 3,Freighting goods,Vans,Class I (up to 1.305 tonnes),,Battery Electric Vehicle,tonne.km,kg CO2e of CH4 per unit,0.00078
