ID,Scope,Level 1,Level 2,Level 3,Level 4,Column Text,UOM,GHG/Unit,GHG Conversion Factor 2025
29_600_4000_13_1,Scope 3,Hotel stay,Hotel stay,UK,,,Room per night,kg CO2e,10.4
29_600_4001_13_1,Scope 3,Hotel stay,Hotel stay,UK (London),,,Room per night,kg CO2e,11.5
29_600_4002_13_1,Scope 3,Hotel stay,Hotel stay,Argentina,,,Room per night,kg CO2e,
29_600_4003_13_1,Scope 3,Hotel stay,Hotel stay,Australia,,,Room per night,kg CO2e,35
29_600_4004_13_1,Scope 3,Hotel stay,Hotel stay,Austria,,,Room per night,kg CO2e,
29_600_4005_13_1,Scope 3,Hotel stay,Hotel stay,Belgium,,,Room per night,kg CO2e,12.2
29_600_4006_13_1,Scope 3,Hotel stay,Hotel stay,Brazil,,,Room per night,kg CO2e,8.7
29_600_4007_13_1,Scope 3,Hotel stay,Hotel stay,Canada,,,Room per night,kg CO2e,7.4
29_600_4008_13_1,Scope 3,Hotel stay,Hotel stay,Chile,,,Room per night,kg CO2e,27.6
29_600_4009_13_1,Scope 3,Hotel stay,Hotel stay,China,,,Room per night,kg CO2e,53.5
29_600_4010_13_1,Scope 3,Hotel stay,Hotel stay,Colombia,,,Room per night,kg CO2e,14.7
29_600_4011_13_1,Scope 3,Hotel stay,Hotel stay,Costa Rica,,,Room per night,kg CO2e,4.7
29_600_4012_13_1,Scope 3,Hotel stay,Hotel stay,Czech Republic,,,Room per night,kg CO2e,
29_600_4013_13_1,Scope 3,Hotel stay,Hotel stay,Egypt,,,Room per night,kg CO2e,44.2
29_600_4014_13_1,Scope 3,Hotel stay,Hotel stay,Fiji,,,Room per night,kg CO2e,
29_600_4015_13_1,Scope 3,Hotel stay,Hotel stay,Finland,,,Room per night,kg CO2e,
29_600_4016_13_1,Scope 3,Hotel stay,Hotel stay,France,,,Room per night,kg CO2e,6.7
29_600_4017_13_1,Scope 3,Hotel stay,Hotel stay,Germany,,,Room per night,kg CO2e,13.2
29_600_4018_13_1,Scope 3,Hotel stay,Hotel stay,Greece,,,Room per night,kg CO2e,
29_600_4019_13_1,Scope 3,Hotel stay,Hotel stay,"Hong Kong, China",,,Room per night,kg CO2e,51.5
29_600_4020_13_1,Scope 3,Hotel stay,Hotel stay,India,,,Room per night,kg CO2e,58.9
