ID,Scope,Level 1,Level 2,Level 3,Level 4,Column Text,UOM,GHG/Unit,GHG Conversion Factor 2025
31_307_3000_4_1,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Mini,,Diesel,km,kg CO2e,0.10996
31_307_3000_4_2,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Mini,,Diesel,km,kg CO2e of CO2 per unit,0.10828
31_307_3000_4_3,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Mini,,Diesel,km,kg CO2e of CH4 per unit,0.000005
31_307_3000_4_4,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Mini,,Diesel,km,kg CO2e of N2O per unit,0.00167
31_307_3001_4_1,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Mini,,Petrol,km,kg CO2e,0.13063
31_307_3001_4_2,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Mini,,Petrol,km,kg CO2e of CO2 per unit,0.12995
31_307_3001_4_3,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Mini,,Petrol,km,kg CO2e of CH4 per unit,0.00036
31_307_3001_4_4,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Mini,,Petrol,km,kg CO2e of N2O per unit,0.00032
31_307_3244_4_1,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Mini,,Hybrid,km,kg CO2e,
31_307_3244_4_2,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Mini,,Hybrid,km,kg CO2e of CO2 per unit,
31_307_3244_4_3,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Mini,,Hybrid,km,kg CO2e of CH4 per unit,
31_307_3244_4_4,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Mini,,Hybrid,km,kg CO2e of N2O per unit,
31_307_3245_4_1,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Mini,,CNG,km,kg CO2e,
31_307_3245_4_2,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Mini,,CNG,km,kg CO2e of CO2 per unit,
31_307_3245_4_3,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Mini,,CNG,km,kg CO2e of CH4 per unit,
31_307_3245_4_4,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Mini,,CNG,km,kg CO2e of N2O per unit,
31_307_3246_4_1,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Mini,,LPG,km,kg CO2e,
31_307_3246_4_2,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Mini,,LPG,km,kg CO2e of CO2 per unit,
31_307_3246_4_3,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Mini,,LPG,km,kg CO2e of CH4 per unit,
31_307_3246_4_4,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Mini,,LPG,km,kg CO2e of N2O per unit,
31_307_3002_4_1,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Mini,,Unknown,km,kg CO2e,0.13051
31_307_3002_4_2,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Mini,,Unknown,km,kg CO2e of CO2 per unit,0.12982
31_307_3002_4_3,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Mini,,Unknown,km,kg CO2e of CH4 per unit,0.00035
31_307_3002_4_4,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Mini,,Unknown,km,kg CO2e of N2O per unit,0.00034
31_307_3003_4_1,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Mini,,Plug-in Hybrid Electric Vehicle,km,kg CO2e,
31_307_3003_4_2,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Mini,,Plug-in Hybrid Electric Vehicle,km,kg CO2e of CO2 per unit,
31_307_3003_4_3,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Mini,,Plug-in Hybrid Electric Vehicle,km,kg CO2e of CH4 per unit,
31_307_3003_4_4,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Mini,,Plug-in Hybrid Electric Vehicle,km,kg CO2e of N2O per unit,
31_307_3004_4_1,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Mini,,Battery Electric Vehicle,km,kg CO2e,0.03319
31_307_3004_4_2,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Mini,,Battery Electric Vehicle,km,kg CO2e of CO2 per unit,0.03276
31_307_3004_4_3,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Mini,,Battery Electric Vehicle,km,kg CO2e of CH4 per unit,0.00018
31_307_3004_4_4,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Mini,,Battery Electric Vehicle,km,kg CO2e of N2O per unit,0.00025
31_307_3000_9_1,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Mini,,Diesel,miles,kg CO2e,0.17696
31_307_3000_9_2,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Mini,,Diesel,miles,kg CO2e of CO2 per unit,0.17425
31_307_3000_9_3,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Mini,,Diesel,miles,kg CO2e of CH4 per unit,0.00001
31_307_3000_9_4,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Mini,,Diesel,miles,kg CO2e of N2O per unit,0.00269
31_307_3001_9_1,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Mini,,Petrol,miles,kg CO2e,0.21022
31_307_3001_9_2,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Mini,,Petrol,miles,kg CO2e of CO2 per unit,0.20913
31_307_3001_9_3,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Mini,,Petrol,miles,kg CO2e of CH4 per unit,0.00057
31_307_3001_9_4,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Mini,,Petrol,miles,kg CO2e of N2O per unit,0.00052
31_307_3244_9_1,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Mini,,Hybrid,miles,kg CO2e,
31_307_3244_9_2,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Mini,,Hybrid,miles,kg CO2e of CO2 per unit,
31_307_3244_9_3,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Mini,,Hybrid,miles,kg CO2e of CH4 per unit,
31_307_3244_9_4,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Mini,,Hybrid,miles,kg CO2e of N2O per unit,
31_307_3245_9_1,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Mini,,CNG,miles,kg CO2e,
