ID,Scope,Level 1,Level 2,Level 3,Level 4,Column Text,UOM,GHG/Unit,GHG Conversion Factor 2025
19_500_5000_15_1,Scope 3,Material use,Construction,Aggregates,,Primary material production,tonnes,kg CO2e,7.79306
19_500_5001_15_1,Scope 3,Material use,Construction,Aggregates,,Re-used,tonnes,kg CO2e,2.21
19_500_5002_15_1,Scope 3,Material use,Construction,Aggregates,,Open-loop source,tonnes,kg CO2e,
19_500_5003_15_1,Scope 3,Material use,Construction,Aggregates,,Closed-loop source,tonnes,kg CO2e,3.21835
19_500_5004_15_1,Scope 3,Material use,Construction,Average construction,,Primary material production,tonnes,kg CO2e,75.00675
19_500_5005_15_1,Scope 3,Material use,Construction,Average construction,,Re-used,tonnes,kg CO2e,
19_500_5006_15_1,Scope 3,Material use,Construction,Average construction,,Open-loop source,tonnes,kg CO2e,
19_500_5007_15_1,Scope 3,Material use,Construction,Average construction,,Closed-loop source,tonnes,kg CO2e,
19_500_5008_15_1,Scope 3,Material use,Construction,Asbestos,,Primary material production,tonnes,kg CO2e,27
19_500_5009_15_1,Scope 3,Material use,Construction,Asbestos,,Re-used,tonnes,kg CO2e,
19_500_5010_15_1,Scope 3,Material use,Construction,Asbestos,,Open-loop source,tonnes,kg CO2e,
19_500_5011_15_1,Scope 3,Material use,Construction,Asbestos,,Closed-loop source,tonnes,kg CO2e,
19_500_5012_15_1,Scope 3,Material use,Construction,Asphalt,,Primary material production,tonnes,kg CO2e,39.21249
19_500_5013_15_1,Scope 3,Material use,Construction,Asphalt,,Re-used,tonnes,kg CO2e,1.73826
19_500_5014_15_1,Scope 3,Material use,Construction,Asphalt,,Open-loop source,tonnes,kg CO2e,
19_500_5015_15_1,Scope 3,Material use,Construction,Asphalt,,Closed-loop source,tonnes,kg CO2e,28.67835
19_500_5016_15_1,Scope 3,Material use,Construction,Bricks,,Primary material production,tonnes,kg CO2e,241.79306
19_500_5017_15_1,Scope 3,Material use,Construction,Bricks,,Re-used,tonnes,kg CO2e,
19_500_5018_15_1,Scope 3,Material use,Construction,Bricks,,Open-loop source,tonnes,kg CO2e,
19_500_5019_15_1,Scope 3,Material use,Construction,Bricks,,Closed-loop source,tonnes,kg CO2e,
19_500_5020_15_1,Scope 3,Material use,Construction,Concrete,,Primary material production,tonnes,kg CO2e,118.79306
19_500_5021_15_1,Scope 3,Material use,Construction,Concrete,,Re-used,tonnes,kg CO2e,
19_500_5022_15_1,Scope 3,Material use,Construction,Concrete,,Open-loop source,tonnes,kg CO2e,
19_500_5023_15_1,Scope 3,Material use,Construction,Concrete,,Closed-loop source,tonnes,kg CO2e,3.21835
19_500_5024_15_1,Scope 3,Material use,Construction,Insulation,,Primary material production,tonnes,kg CO2e,1861.79306
19_500_5025_15_1,Scope 3,Material use,Construction,Insulation,,Re-used,tonnes,kg CO2e,
19_500_5026_15_1,Scope 3,Material use,Construction,Insulation,,Open-loop source,tonnes,kg CO2e,
19_500_5027_15_1,Scope 3,Material use,Construction,Insulation,,Closed-loop source,tonnes,kg CO2e,1852.12293
19_500_5028_15_1,Scope 3,Material use,Construction,Metals,,Primary material production,tonnes,kg CO2e,3824.09335
19_500_5029_15_1,Scope 3,Material use,Construction,Metals,,Re-used,tonnes,kg CO2e,
19_500_5030_15_1,Scope 3,Material use,Construction,Metals,,Open-loop source,tonnes,kg CO2e,
19_500_5031_15_1,Scope 3,Material use,Construction,Metals,,Closed-loop source,tonnes,kg CO2e,1638.74406
19_500_5032_15_1,Scope 3,Material use,Construction,Soils,,Primary material production,tonnes,kg CO2e,
19_500_5033_15_1,Scope 3,Material use,Construction,Soils,,Re-used,tonnes,kg CO2e,
19_500_5034_15_1,Scope 3,Material use,Construction,Soils,,Open-loop source,tonnes,kg CO2e,
19_500_5035_15_1,Scope 3,Material use,Construction,Soils,,Closed-loop source,tonnes,kg CO2e,1.00835
19_500_5036_15_1,Scope 3,Material use,Construction,Mineral oil,,Primary material production,tonnes,kg CO2e,1401
19_500_5037_15_1,Scope 3,Material use,Construction,Mineral oil,,Re-used,tonnes,kg CO2e,
19_500_5038_15_1,Scope 3,Material use,Construction,Mineral oil,,Open-loop source,tonnes,kg CO2e,
19_500_5039_15_1,Scope 3,Material use,Construction,Mineral oil,,Closed-loop source,tonnes,kg CO2e,676
19_500_5040_15_1,Scope 3,Material use,Construction,Plasterboard,,Primary material production,tonnes,kg CO2e,120.05
19_500_5041_15_1,Scope 3,Material use,Construction,Plasterboard,,Re-used,tonnes,kg CO2e,
19_500_5042_15_1,Scope 3,Material use,Construction,Plasterboard,,Open-loop source,tonnes,kg CO2e,
19_500_5043_15_1,Scope 3,Material use,Construction,Plasterboard,,Closed-loop source,tonnes,kg CO2e,32.17
19_500_5044_15_1,Scope 3,Material use,Construction,Tyres,,Primary material production,tonnes,kg CO2e,3335.5719
19_500_5045_15_1,Scope 3,Material use,Construction,Tyres,,Re-used,tonnes,kg CO2e,731.21789
19_500_5046_15_1,Scope 3,Material use,Construction,Tyres,,Open-loop source,tonnes,kg CO2e,
19_500_5047_15_1,Scope 3,Material use,Construction,Tyres,,Closed-loop source,tonnes,kg CO2e,
19_500_5048_15_1,Scope 3,Material use,Construction,Wood,,Primary material production,tonnes,kg CO2e,269.50416
19_500_5049_15_1,Scope 3,Material use,Construction,Wood,,Re-used,tonnes,kg CO2e,38.54288
19_500_5050_15_1,Scope 3,Material use,Construction,Wood,,Open-loop source,tonnes,kg CO2e,
