ID,Scope,Level 1,Level 2,Level 3,Level 4,Column Text,UOM,GHG/Unit,GHG Conversion Factor 2025
14_300_3003_4_1,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Mini,,Plug-in Hybrid Electric Vehicle,km,kg CO2e,
14_300_3003_4_2,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Mini,,Plug-in Hybrid Electric Vehicle,km,kg CO2e of CO2 per unit,
14_300_3003_4_3,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Mini,,Plug-in Hybrid Electric Vehicle,km,kg CO2e of CH4 per unit,
14_300_3003_4_4,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Mini,,Plug-in Hybrid Electric Vehicle,km,kg CO2e of N2O per unit,
14_300_3004_4_1,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Mini,,Battery Electric Vehicle,km,kg CO2e,0.00314
14_300_3004_4_2,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Mini,,Battery Electric Vehicle,km,kg CO2e of CO2 per unit,0.00311
14_300_3004_4_3,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Mini,,Battery Electric Vehicle,km,kg CO2e of CH4 per unit,0.00001
14_300_3004_4_4,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Mini,,Battery Electric Vehicle,km,kg CO2e of N2O per unit,0.00002
14_300_3003_9_1,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Mini,,Plug-in Hybrid Electric Vehicle,miles,kg CO2e,
14_300_3003_9_2,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Mini,,Plug-in Hybrid Electric Vehicle,miles,kg CO2e of CO2 per unit,
14_300_3003_9_3,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Mini,,Plug-in Hybrid Electric Vehicle,miles,kg CO2e of CH4 per unit,
14_300_3003_9_4,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Mini,,Plug-in Hybrid Electric Vehicle,miles,kg CO2e of N2O per unit,
14_300_3004_9_1,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Mini,,Battery Electric Vehicle,miles,kg CO2e,0.00507
14_300_3004_9_2,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Mini,,Battery Electric Vehicle,miles,kg CO2e of CO2 per unit,0.00501
14_300_3004_9_3,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Mini,,Battery Electric Vehicle,miles,kg CO2e of CH4 per unit,0.00002
14_300_3004_9_4,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Mini,,Battery Electric Vehicle,miles,kg CO2e of N2O per unit,0.00004
14_300_3008_4_1,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Supermini,,Plug-in Hybrid Electric Vehicle,km,kg CO2e,0.00252
