ID,Scope,Level 1,Level 2,Level 3,Level 4,Column Text,UOM,GHG/Unit,GHG Conversion Factor 2025
12_900_1031_8_1,Scope 3,WTT- bioenergy,WTT- biofuel,Bioethanol,,,litres,kg CO2e,0.61516
12_900_1031_2_1,Scope 3,WTT- bioenergy,WTT- biofuel,Bioethanol,,,GJ,kg CO2e,28.909
12_900_1031_3_1,Scope 3,WTT- bioenergy,WTT- biofuel,Bioethanol,,,kg,kg CO2e,0.77476
12_900_1032_8_1,Scope 3,WTT- bioenergy,WTT- biofuel,Biodiesel ME,,,litres,kg CO2e,0.39508
12_900_1032_2_1,Scope 3,WTT- bioenergy,WTT- biofuel,Biodiesel ME,,,GJ,kg CO2e,11.933
12_900_1032_3_1,Scope 3,WTT- bioenergy,WTT- biofuel,Biodiesel ME,,,kg,kg CO2e,0.44391
12_900_1033_8_1,Scope 3,WTT- bioenergy,WTT- biofuel,Biomethane (compressed),,,litres,kg CO2e,
12_900_1033_2_1,Scope 3,WTT- bioenergy,WTT- biofuel,Biomethane (compressed),,,GJ,kg CO2e,15.797
12_900_1033_3_1,Scope 3,WTT- bioenergy,WTT- biofuel,Biomethane (compressed),,,kg,kg CO2e,0.77405
12_900_1034_8_1,Scope 3,WTT- bioenergy,WTT- biofuel,Biodiesel ME (from used cooking oil),,,litres,kg CO2e,0.3534
12_900_1034_2_1,Scope 3,WTT- bioenergy,WTT- biofuel,Biodiesel ME (from used cooking oil),,,GJ,kg CO2e,10.6742
12_900_1034_3_1,Scope 3,WTT- bioenergy,WTT- biofuel,Biodiesel ME (from used cooking oil),,,kg,kg CO2e,0.39708
12_900_1035_8_1,Scope 3,WTT- bioenergy,WTT- biofuel,Biodiesel ME (from Tallow),,,litres,kg CO2e,0.53232
12_900_1035_2_1,Scope 3,WTT- bioenergy,WTT- biofuel,Biodiesel ME (from Tallow),,,GJ,kg CO2e,16.07836
12_900_1035_3_1,Scope 3,WTT- bioenergy,WTT- biofuel,Biodiesel ME (from Tallow),,,kg,kg CO2e,0.59812
12_900_1036_8_1,Scope 3,WTT- bioenergy,WTT- biofuel,Biodiesel HVO,,,litres,kg CO2e,0.56439
12_900_1036_2_1,Scope 3,WTT- bioenergy,WTT- biofuel,Biodiesel HVO,,,GJ,kg CO2e,16.445
12_900_1036_3_1,Scope 3,WTT- bioenergy,WTT- biofuel,Biodiesel HVO,,,kg,kg CO2e,0.72358
12_900_1037_8_1,Scope 3,WTT- bioenergy,WTT- biofuel,Biopropane,,,litres,kg CO2e,0.15752
12_900_1037_2_1,Scope 3,WTT- bioenergy,WTT- biofuel,Biopropane,,,GJ,kg CO2e,6.613
12_900_1037_3_1,Scope 3,WTT- bioenergy,WTT- biofuel,Biopropane,,,kg,kg CO2e,0.30684
12_900_1038_8_1,Scope 3,WTT- bioenergy,WTT- biofuel,Development diesel,,,litres,kg CO2e,0.83338
12_900_1038_2_1,Scope 3,WTT- bioenergy,WTT- biofuel,Development diesel,,,GJ,kg CO2e,23.32
12_900_1038_3_1,Scope 3,WTT- bioenergy,WTT- biofuel,Development diesel,,,kg,kg CO2e,1.0034
12_900_1039_8_1,Scope 3,WTT- bioenergy,WTT- biofuel,Development petrol,,,litres,kg CO2e,0.76505
12_900_1039_2_1,Scope 3,WTT- bioenergy,WTT- biofuel,Development petrol,,,GJ,kg CO2e,23.097
12_900_1039_3_1,Scope 3,WTT- bioenergy,WTT- biofuel,Development petrol,,,kg,kg CO2e,1.03129
12_900_1040_8_1,Scope 3,WTT- bioenergy,WTT- biofuel,Off road biodiesel,,,litres,kg CO2e,0.39508
12_900_1040_2_1,Scope 3,WTT- bioenergy,WTT- biofuel,Off road biodiesel,,,GJ,kg CO2e,11.933
12_900_1040_3_1,Scope 3,WTT- bioenergy,WTT- biofuel,Off road biodiesel,,,kg,kg CO2e,0.44391
12_900_1041_8_1,Scope 3,WTT- bioenergy,WTT- biofuel,Biomethane (liquified),,,litres,kg CO2e,
12_900_1041_2_1,Scope 3,WTT- bioenergy,WTT- biofuel,Biomethane (liquified),,,GJ,kg CO2e,23.903
12_900_1041_3_1,Scope 3,WTT- bioenergy,WTT- biofuel,Biomethane (liquified),,,kg,kg CO2e,1.17125
12_900_1042_8_1,Scope 3,WTT- bioenergy,WTT- biofuel,Methanol (bio),,,litres,kg CO2e,0.59414
12_900_1042_2_1,Scope 3,WTT- bioenergy,WTT- biofuel,Methanol (bio),,,GJ,kg CO2e,37.597
12_900_1042_3_1,Scope 3,WTT- bioenergy,WTT- biofuel,Methanol (bio),,,kg,kg CO2e,0.74923
12_900_1049_8_1,Scope 3,WTT- bioenergy,WTT- biofuel,Avtur (renewable),,,litres,kg CO2e,0.53386
12_900_1049_2_1,Scope 3,WTT- bioenergy,WTT- biofuel,Avtur (renewable),,,GJ,kg CO2e,15.256
12_900_1049_3_1,Scope 3,WTT- bioenergy,WTT- biofuel,Avtur (renewable),,,kg,kg CO2e,0.67052
12_901_1043_15_1,Scope 3,WTT- bioenergy,WTT- biomass,Wood logs,,,tonnes,kg CO2e,52.14
12_901_1043_5_1,Scope 3,WTT- bioenergy,WTT- biomass,Wood logs,,,kWh,kg CO2e,0.01277
12_901_1044_15_1,Scope 3,WTT- bioenergy,WTT- biomass,Wood chips,,,tonnes,kg CO2e,30.4
