ID,Scope,Level 1,Level 2,Level 3,Level 4,Column Text,UOM,GHG/Unit,GHG Conversion Factor 2025
28_906_3081_14_1,Scope 3,WTT- delivery vehs & freight,WTT- vans,Class I (up to 1.305 tonnes),,Diesel,tonne.km,kg CO2e,0.20817
28_906_3082_14_1,Scope 3,WTT- delivery vehs & freight,WTT- vans,Class I (up to 1.305 tonnes),,Petrol,tonne.km,kg CO2e,0.32847
28_906_3083_14_1,Scope 3,WTT- delivery vehs & freight,WTT- vans,Class I (up to 1.305 tonnes),,CNG,tonne.km,kg CO2e,
28_906_3084_14_1,Scope 3,WTT- delivery vehs & freight,WTT- vans,Class I (up to 1.305 tonnes),,LPG,tonne.km,kg CO2e,
28_906_3085_14_1,Scope 3,WTT- delivery vehs & freight,WTT- vans,Class I (up to 1.305 tonnes),,Unknown,tonne.km,kg CO2e,
28_906_3086_14_1,Scope 3,WTT- delivery vehs & freight,WTT- vans,Class I (up to 1.305 tonnes),,Plug-in Hybrid Electric Vehicle,tonne.km,kg CO2e,
28_906_3087_14_1,Scope 3,WTT- delivery vehs & freight,WTT- vans,Class I (up to 1.305 tonnes),,Battery Electric Vehicle,tonne.km,kg CO2e,0.03481
28_906_3081_4_1,Scope 3,WTT- delivery vehs & freight,WTT- vans,Class I (up to 1.305 tonnes),,Diesel,km,kg CO2e,0.03746
28_906_3082_4_1,Scope 3,WTT- delivery vehs & freight,WTT- vans,Class I (up to 1.305 tonnes),,Petrol,km,kg CO2e,0.05614
28_906_3083_4_1,Scope 3,WTT- delivery vehs & freight,WTT- vans,Class I (up to 1.305 tonnes),,CNG,km,kg CO2e,
28_906_3084_4_1,Scope 3,WTT- delivery vehs & freight,WTT- vans,Class I (up to 1.305 tonnes),,LPG,km,kg CO2e,
28_906_3085_4_1,Scope 3,WTT- delivery vehs & freight,WTT- vans,Class I (up to 1.305 tonnes),,Unknown,km,kg CO2e,
28_906_3086_4_1,Scope 3,WTT- delivery vehs & freight,WTT- vans,Class I (up to 1.305 tonnes),,Plug-in Hybrid Electric Vehicle,km,kg CO2e,
28_906_3087_4_1,Scope 3,WTT- delivery vehs & freight,WTT- vans,Class I (up to 1.305 tonnes),,Battery Electric Vehicle,km,kg CO2e,0.00943
28_906_3081_9_1,Scope 3,WTT- delivery vehs & freight,WTT- vans,Class I (up to 1.305 tonnes),,Diesel,miles,kg CO2e,0.06028
28_906_3082_9_1,Scope 3,WTT- delivery vehs & freight,WTT- vans,Class I (up to 1.305 tonnes),,Petrol,miles,kg CO2e,0.09035
28_906_3083_9_1,Scope 3,WTT- delivery vehs & freight,WTT- vans,Class I (up to 1.305 tonnes),,CNG,miles,kg CO2e,
28_906_3084_9_1,Scope 3,WTT- delivery vehs & freight,WTT- vans,Class I (up to 1.305 tonnes),,LPG,miles,kg CO2e,
28_906_3085_9_1,Scope 3,WTT- delivery vehs & freight,WTT- vans,Class I (up to 1.305 tonnes),,Unknown,miles,kg CO2e,
28_906_3086_9_1,Scope 3,WTT- delivery vehs & freight,WTT- vans,Class I (up to 1.305 tonnes),,Plug-in Hybrid Electric Vehicle,miles,kg CO2e,
28_906_3087_9_1,Scope 3,WTT- delivery vehs & freight,WTT- vans,Class I (up to 1.305 tonnes),,Battery Electric Vehicle,miles,kg CO2e,0.01517
28_906_3088_14_1,Scope 3,WTT- delivery vehs & freight,WTT- vans,Class II (1.305 to 1.74 tonnes),,Diesel,tonne.km,kg CO2e,0.14937
28_906_3089_14_1,Scope 3,WTT- delivery vehs & freight,WTT- vans,Class II (1.305 to 1.74 tonnes),,Petrol,tonne.km,kg CO2e,0.23153
28_906_3090_14_1,Scope 3,WTT- delivery vehs & freight,WTT- vans,Class II (1.305 to 1.74 tonnes),,CNG,tonne.km,kg CO2e,
28_906_3091_14_1,Scope 3,WTT- delivery vehs & freight,WTT- vans,Class II (1.305 to 1.74 tonnes),,LPG,tonne.km,kg CO2e,
28_906_3092_14_1,Scope 3,WTT- delivery vehs & freight,WTT- vans,Class II (1.305 to 1.74 tonnes),,Unknown,tonne.km,kg CO2e,
28_906_3093_14_1,Scope 3,WTT- delivery vehs & freight,WTT- vans,Class II (1.305 to 1.74 tonnes),,Plug-in Hybrid Electric Vehicle,tonne.km,kg CO2e,
