ID,Scope,Level 1,Level 2,Level 3,Level 4,Column Text,UOM,GHG/Unit,GHG Conversion Factor 2025
11_100_1000_15_1,Scope 3,WTT- fuels,Gaseous fuels,Butane,,,tonnes,kg CO2e,344.30947
11_100_1000_8_1,Scope 3,WTT- fuels,Gaseous fuels,Butane,,,litres,kg CO2e,0.19765
11_100_1000_7_1,Scope 3,WTT- fuels,Gaseous fuels,Butane,,,kWh (Net CV),kg CO2e,0.02736
11_100_1000_6_1,Scope 3,WTT- fuels,Gaseous fuels,Butane,,,kWh (Gross CV),kg CO2e,0.02524
11_100_1001_15_1,Scope 3,WTT- fuels,Gaseous fuels,CNG,,,tonnes,kg CO2e,530.77887
11_100_1001_8_1,Scope 3,WTT- fuels,Gaseous fuels,CNG,,,litres,kg CO2e,0.09289
11_100_1001_7_1,Scope 3,WTT- fuels,Gaseous fuels,CNG,,,kWh (Net CV),kg CO2e,0.04198
11_100_1001_6_1,Scope 3,WTT- fuels,Gaseous fuels,CNG,,,kWh (Gross CV),kg CO2e,0.03789
11_100_1002_15_1,Scope 3,WTT- fuels,Gaseous fuels,LNG,,,tonnes,kg CO2e,912.22817
11_100_1002_8_1,Scope 3,WTT- fuels,Gaseous fuels,LNG,,,litres,kg CO2e,0.41277
11_100_1002_7_1,Scope 3,WTT- fuels,Gaseous fuels,LNG,,,kWh (Net CV),kg CO2e,0.07214
11_100_1002_6_1,Scope 3,WTT- fuels,Gaseous fuels,LNG,,,kWh (Gross CV),kg CO2e,0.06512
11_100_1003_15_1,Scope 3,WTT- fuels,Gaseous fuels,LPG,,,tonnes,kg CO2e,349.29282
11_100_1003_8_1,Scope 3,WTT- fuels,Gaseous fuels,LPG,,,litres,kg CO2e,0.18551
11_100_1003_7_1,Scope 3,WTT- fuels,Gaseous fuels,LPG,,,kWh (Net CV),kg CO2e,0.02736
11_100_1003_6_1,Scope 3,WTT- fuels,Gaseous fuels,LPG,,,kWh (Gross CV),kg CO2e,0.02548
11_100_1004_15_1,Scope 3,WTT- fuels,Gaseous fuels,Natural gas,,,tonnes,kg CO2e,423.16368
11_100_1004_1_1,Scope 3,WTT- fuels,Gaseous fuels,Natural gas,,,cubic metres,kg CO2e,0.3366
11_100_1004_7_1,Scope 3,WTT- fuels,Gaseous fuels,Natural gas,,,kWh (Net CV),kg CO2e,0.03347
11_100_1004_6_1,Scope 3,WTT- fuels,Gaseous fuels,Natural gas,,,kWh (Gross CV),kg CO2e,0.03021
11_100_1005_15_1,Scope 3,WTT- fuels,Gaseous fuels,Natural gas (100% mineral blend),,,tonnes,kg CO2e,423.16368
11_100_1005_1_1,Scope 3,WTT- fuels,Gaseous fuels,Natural gas (100% mineral blend),,,cubic metres,kg CO2e,0.3366
11_100_1005_7_1,Scope 3,WTT- fuels,Gaseous fuels,Natural gas (100% mineral blend),,,kWh (Net CV),kg CO2e,0.03347
11_100_1005_6_1,Scope 3,WTT- fuels,Gaseous fuels,Natural gas (100% mineral blend),,,kWh (Gross CV),kg CO2e,0.03021
11_100_1006_15_1,Scope 3,WTT- fuels,Gaseous fuels,Other petroleum gas,,,tonnes,kg CO2e,302.95197
11_100_1006_8_1,Scope 3,WTT- fuels,Gaseous fuels,Other petroleum gas,,,litres,kg CO2e,0.11097
11_100_1006_7_1,Scope 3,WTT- fuels,Gaseous fuels,Other petroleum gas,,,kWh (Net CV),kg CO2e,0.0234
11_100_1006_6_1,Scope 3,WTT- fuels,Gaseous fuels,Other petroleum gas,,,kWh (Gross CV),kg CO2e,0.02153
11_100_1007_15_1,Scope 3,WTT- fuels,Gaseous fuels,Propane,,,tonnes,kg CO2e,352.67018
11_100_1007_8_1,Scope 3,WTT- fuels,Gaseous fuels,Propane,,,litres,kg CO2e,0.1817
