ID,Scope,Level 1,Level 2,Level 3,Level 4,Column Text,UOM,GHG/Unit,GHG Conversion Factor 2025
26_903_3000_4_1,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),Mini,,Diesel,km,kg CO2e,0.02613
26_903_3001_4_1,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),Mini,,Petrol,km,kg CO2e,0.03655
26_903_3244_4_1,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),Mini,,Hybrid,km,kg CO2e,
26_903_3245_4_1,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),Mini,,CNG,km,kg CO2e,
26_903_3246_4_1,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),Mini,,LPG,km,kg CO2e,
26_903_3002_4_1,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),Mini,,Unknown,km,kg CO2e,0.03648
26_903_3003_4_1,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),Mini,,Plug-in Hybrid Electric Vehicle,km,kg CO2e,
26_903_3004_4_1,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),Mini,,Battery Electric Vehicle,km,kg CO2e,0.00851
26_903_3000_9_1,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),Mini,,Diesel,miles,kg CO2e,0.04205
26_903_3001_9_1,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),Mini,,Petrol,miles,kg CO2e,0.05881
26_903_3244_9_1,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),Mini,,Hybrid,miles,kg CO2e,
26_903_3245_9_1,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),Mini,,CNG,miles,kg CO2e,
26_903_3246_9_1,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),Mini,,LPG,miles,kg CO2e,
26_903_3002_9_1,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),Mini,,Unknown,miles,kg CO2e,0.05871
26_903_3003_9_1,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),Mini,,Plug-in Hybrid Electric Vehicle,miles,kg CO2e,
26_903_3004_9_1,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),Mini,,Battery Electric Vehicle,miles,kg CO2e,0.0137
26_903_3005_4_1,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),Supermini,,Diesel,km,kg CO2e,0.03208
26_903_3006_4_1,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),Supermini,,Petrol,km,kg CO2e,0.04019
26_903_3247_4_1,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),Supermini,,Hybrid,km,kg CO2e,
26_903_3248_4_1,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),Supermini,,CNG,km,kg CO2e,
26_903_3249_4_1,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),Supermini,,LPG,km,kg CO2e,
26_903_3007_4_1,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),Supermini,,Unknown,km,kg CO2e,0.03929
26_903_3008_4_1,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),Supermini,,Plug-in Hybrid Electric Vehicle,km,kg CO2e,0.0152
26_903_3009_4_1,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),Supermini,,Battery Electric Vehicle,km,kg CO2e,0.00971
26_903_3005_9_1,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),Supermini,,Diesel,miles,kg CO2e,0.05162
26_903_3006_9_1,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),Supermini,,Petrol,miles,kg CO2e,0.06469
26_903_3247_9_1,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),Supermini,,Hybrid,miles,kg CO2e,
26_903_3248_9_1,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),Supermini,,CNG,miles,kg CO2e,
26_903_3249_9_1,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),Supermini,,LPG,miles,kg CO2e,
26_903_3007_9_1,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),Supermini,,Unknown,miles,kg CO2e,0.06324
26_903_3008_9_1,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),Supermini,,Plug-in Hybrid Electric Vehicle,miles,kg CO2e,0.02446
26_903_3009_9_1,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),Supermini,,Battery Electric Vehicle,miles,kg CO2e,0.01563
26_903_3010_4_1,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),Lower medium,,Diesel,km,kg CO2e,0.03482
26_903_3011_4_1,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),Lower medium,,Petrol,km,kg CO2e,0.04582
26_903_3250_4_1,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),Lower medium,,Hybrid,km,kg CO2e,
26_903_3251_4_1,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),Lower medium,,CNG,km,kg CO2e,
26_903_3252_4_1,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),Lower medium,,LPG,km,kg CO2e,
