ID,Scope,Level 1,Level 2,Level 3,Level 4,Column Text,UOM,GHG/Unit,GHG Conversion Factor 2025
99_604_1011_15_2,Outside of Scopes,Outside of scopes,Forecourt fuels containing biofuel,Diesel (average biofuel blend),,,tonnes,kg CO2e of CO2 per unit,163.17
99_604_1011_8_2,Outside of Scopes,Outside of scopes,Forecourt fuels containing biofuel,Diesel (average biofuel blend),,,litres,kg CO2e of CO2 per unit,0.14
99_604_1011_5_2,Outside of Scopes,Outside of scopes,Forecourt fuels containing biofuel,Diesel (average biofuel blend),,,kWh,kg CO2e of CO2 per unit,0.01
99_604_1017_15_2,Outside of Scopes,Outside of scopes,Forecourt fuels containing biofuel,Petrol (average biofuel blend),,,tonnes,kg CO2e of CO2 per unit,177.88
99_604_1017_8_2,Outside of Scopes,Outside of scopes,Forecourt fuels containing biofuel,Petrol (average biofuel blend),,,litres,kg CO2e of CO2 per unit,0.13
99_604_1017_5_2,Outside of Scopes,Outside of scopes,Forecourt fuels containing biofuel,Petrol (average biofuel blend),,,kWh,kg CO2e of CO2 per unit,0.01
99_103_1031_8_2,Outside of Scopes,Outside of scopes,Biofuel,Bioethanol,,,litres,kg CO2e of CO2 per unit,1.52
99_103_1031_2_2,Outside of Scopes,Outside of scopes,Biofuel,Bioethanol,,,GJ,kg CO2e of CO2 per unit,71.37
99_103_1031_3_2,Outside of Scopes,Outside of scopes,Biofuel,Bioethanol,,,kg,kg CO2e of CO2 per unit,1.91
99_103_1032_8_2,Outside of Scopes,Outside of scopes,Biofuel,Biodiesel ME,,,litres,kg CO2e of CO2 per unit,2.39
99_103_1032_2_2,Outside of Scopes,Outside of scopes,Biofuel,Biodiesel ME,,,GJ,kg CO2e of CO2 per unit,72.16
99_103_1032_3_2,Outside of Scopes,Outside of scopes,Biofuel,Biodiesel ME,,,kg,kg CO2e of CO2 per unit,2.68
99_103_1033_8_2,Outside of Scopes,Outside of scopes,Biofuel,Biomethane (compressed),,,litres,kg CO2e of CO2 per unit,
99_103_1033_2_2,Outside of Scopes,Outside of scopes,Biofuel,Biomethane (compressed),,,GJ,kg CO2e of CO2 per unit,55.28
99_103_1033_3_2,Outside of Scopes,Outside of scopes,Biofuel,Biomethane (compressed),,,kg,kg CO2e of CO2 per unit,2.71
99_103_1034_8_2,Outside of Scopes,Outside of scopes,Biofuel,Biodiesel ME (from used cooking oil),,,litres,kg CO2e of CO2 per unit,2.39
99_103_1034_2_2,Outside of Scopes,Outside of scopes,Biofuel,Biodiesel ME (from used cooking oil),,,GJ,kg CO2e of CO2 per unit,72.16
99_103_1034_3_2,Outside of Scopes,Outside of scopes,Biofuel,Biodiesel ME (from used cooking oil),,,kg,kg CO2e of CO2 per unit,2.68
99_103_1035_8_2,Outside of Scopes,Outside of scopes,Biofuel,Biodiesel ME (from Tallow),,,litres,kg CO2e of CO2 per unit,2.39
99_103_1035_2_2,Outside of Scopes,Outside of scopes,Biofuel,Biodiesel ME (from Tallow),,,GJ,kg CO2e of CO2 per unit,72.16
99_103_1035_3_2,Outside of Scopes,Outside of scopes,Biofuel,Biodiesel ME (from Tallow),,,kg,kg CO2e of CO2 per unit,2.68
99_103_1036_8_2,Outside of Scopes,Outside of scopes,Biofuel,Biodiesel HVO,,,litres,kg CO2e of CO2 per unit,2.43
99_103_1036_2_2,Outside of Scopes,Outside of scopes,Biofuel,Biodiesel HVO,,,GJ,kg CO2e of CO2 per unit,70.83
